Index,Date,Open,High,Low,Close,Adj Close,Volume
Dow Jones Industrial Average,1/2/2018,24809.35,24864.19,24741.7,24824.01,24824.01,341130000
Dow Jones Industrial Average,1/3/2018,24850.45,24941.92,24825.55,24922.68,24922.68,456790000
Dow Jones Industrial Average,1/4/2018,24964.86,25105.96,24963.27,25075.13,25075.13,403280000
Dow Jones Industrial Average,1/5/2018,25114.92,25299.79,25112.01,25295.87,25295.87,358020000
Dow Jones Industrial Average,1/8/2018,25308.4,25311.99,25235.41,25283,25283,341390000
Dow Jones Industrial Average,1/9/2018,25312.05,25439.78,25308.41,25385.8,25385.8,333490000
Dow Jones Industrial Average,1/10/2018,25348.13,25404.92,25256.99,25369.13,25369.13,341470000
Dow Jones Industrial Average,1/11/2018,25398.6,25575.42,25396.19,25574.73,25574.73,346830000
Dow Jones Industrial Average,1/12/2018,25638.39,25810.43,25633.08,25803.19,25803.19,376390000
Dow Jones Industrial Average,1/16/2018,25987.62,26086.12,25702.99,25792.86,25792.86,606520000
Dow Jones Industrial Average,1/17/2018,25910.78,26130.45,25865.02,26115.65,26115.65,522720000
Dow Jones Industrial Average,1/18/2018,26149.55,26153.42,25947.32,26017.81,26017.81,492780000
Dow Jones Industrial Average,1/19/2018,25987.35,26071.72,25942.83,26071.72,26071.72,585000000
Dow Jones Industrial Average,1/22/2018,26025.32,26215.23,25974.65,26214.6,26214.6,431200000
Dow Jones Industrial Average,1/23/2018,26214.87,26246.19,26143.9,26210.81,26210.81,433490000
Dow Jones Industrial Average,1/24/2018,26282.07,26392.8,26106.94,26252.12,26252.12,518790000
Dow Jones Industrial Average,1/25/2018,26313.06,26458.25,26259.72,26392.79,26392.79,401390000
Dow Jones Industrial Average,1/26/2018,26466.74,26616.71,26425.35,26616.71,26616.71,477780000
Dow Jones Industrial Average,1/29/2018,26584.28,26608.9,26435.34,26439.48,26439.48,421000000
Dow Jones Industrial Average,1/30/2018,26198.45,26256.99,26028.42,26076.89,26076.89,448330000
Dow Jones Industrial Average,1/31/2018,26268.17,26338.03,26050.98,26149.39,26149.39,479130000
Dow Jones Industrial Average,2/1/2018,26083.04,26306.7,26014.44,26186.71,26186.71,410620000
Dow Jones Industrial Average,2/2/2018,26061.79,26061.79,25490.66,25520.96,25520.96,522880000
Dow Jones Industrial Average,2/5/2018,25337.87,25520.53,23923.88,24345.75,24345.75,714450000
Dow Jones Industrial Average,2/6/2018,24085.17,24946.23,23778.74,24912.77,24912.77,823940000
Dow Jones Industrial Average,2/7/2018,24892.87,25293.96,24785.44,24893.35,24893.35,504620000
Dow Jones Industrial Average,2/8/2018,24902.3,24903.68,23849.23,23860.46,23860.46,657500000
Dow Jones Industrial Average,2/9/2018,23992.67,24382.14,23360.29,24190.9,24190.9,735030000
Dow Jones Industrial Average,2/12/2018,24337.76,24765.16,24290.48,24601.27,24601.27,496610000
Dow Jones Industrial Average,2/13/2018,24540.33,24705.72,24421.03,24640.45,24640.45,374410000
Dow Jones Industrial Average,2/14/2018,24535.82,24925.95,24490.36,24893.49,24893.49,431160000
Dow Jones Industrial Average,2/15/2018,25047.82,25203.95,24809.42,25200.37,25200.37,416780000
Dow Jones Industrial Average,2/16/2018,25165.94,25432.42,25149.26,25219.38,25219.38,406730000
Dow Jones Industrial Average,2/20/2018,25124.91,25179.01,24884.19,24964.75,24964.75,421510000
Dow Jones Industrial Average,2/21/2018,24988.06,25267.99,24792.99,24797.78,24797.78,456070000
Dow Jones Industrial Average,2/22/2018,24855.41,25156.72,24854.83,24962.48,24962.48,378900000
Dow Jones Industrial Average,2/23/2018,25050.51,25313.91,25028.73,25309.99,25309.99,335420000
Dow Jones Industrial Average,2/26/2018,25403.35,25732.8,25398.56,25709.27,25709.27,473360000
Dow Jones Industrial Average,2/27/2018,25735.78,25800.35,25407.83,25410.03,25410.03,438390000
Dow Jones Industrial Average,2/28/2018,25485.15,25576.15,25022.42,25029.2,25029.2,451870000
Dow Jones Industrial Average,3/1/2018,25024.04,25185.35,24442.56,24608.98,24608.98,506280000
Dow Jones Industrial Average,3/2/2018,24394.91,24592.46,24217.76,24538.06,24538.06,437130000
Dow Jones Industrial Average,3/5/2018,24471.31,24961,24387.15,24874.76,24874.76,383910000
Dow Jones Industrial Average,3/6/2018,24965.89,24995.24,24708.41,24884.12,24884.12,331770000
Dow Jones Industrial Average,3/7/2018,24758.15,24849.68,24535.12,24801.36,24801.36,394070000
Dow Jones Industrial Average,3/8/2018,24853.41,24950.49,24703.05,24895.21,24895.21,327300000
Dow Jones Industrial Average,3/9/2018,25004.89,25336.33,25004.89,25335.74,25335.74,371570000
Dow Jones Industrial Average,3/12/2018,25372.44,25449.15,25152.02,25178.61,25178.61,362580000
Dow Jones Industrial Average,3/13/2018,25257.75,25376.4,24947.5,25007.03,25007.03,447880000
Dow Jones Industrial Average,3/14/2018,25086.97,25130.12,24668.83,24758.12,24758.12,356830000
Dow Jones Industrial Average,3/15/2018,24837.29,25053.87,24753.29,24873.66,24873.66,316310000
Dow Jones Industrial Average,3/16/2018,24877.34,25031,24857.09,24946.51,24946.51,654240000
Dow Jones Industrial Average,3/19/2018,24893.69,24893.69,24453.14,24610.91,24610.91,377990000
Dow Jones Industrial Average,3/20/2018,24650.64,24803.61,24650.64,24727.27,24727.27,342510000
Dow Jones Industrial Average,3/21/2018,24723.49,24977.65,24655.4,24682.31,24682.31,343230000
Dow Jones Industrial Average,3/22/2018,24526.01,24526.01,23938.74,23957.89,23957.89,439280000
Dow Jones Industrial Average,3/23/2018,23995.18,24108.47,23509.06,23533.2,23533.2,482550000
Dow Jones Industrial Average,3/26/2018,23825.74,24232.3,23741.22,24202.6,24202.6,479540000
Dow Jones Industrial Average,3/27/2018,24276.62,24446.22,23708.73,23857.71,23857.71,524480000
Dow Jones Industrial Average,3/28/2018,23883.08,24092.47,23728.67,23848.42,23848.42,530040000
Dow Jones Industrial Average,3/29/2018,23949.18,24314.3,23928.13,24103.11,24103.11,463550000
Dow Jones Industrial Average,4/2/2018,24076.6,24123.8,23344.52,23644.19,23644.19,509820000
Dow Jones Industrial Average,4/3/2018,23698.33,24044.35,23664.33,24033.36,24033.36,394130000
Dow Jones Industrial Average,4/4/2018,23654.15,24308.96,23523.16,24264.3,24264.3,388540000
Dow Jones Industrial Average,4/5/2018,24313.91,24622.26,24313.91,24505.22,24505.22,347790000
Dow Jones Industrial Average,4/6/2018,24373.6,24434.4,23738.2,23932.76,23932.76,395990000
Dow Jones Industrial Average,4/9/2018,24037.52,24373.18,23954.83,23979.1,23979.1,380790000
Dow Jones Industrial Average,4/10/2018,24198.95,24511.35,24198.95,24408,24408,368590000
Dow Jones Industrial Average,4/11/2018,24274.19,24366.57,24150.87,24189.45,24189.45,286360000
Dow Jones Industrial Average,4/12/2018,24302.82,24592.12,24302.82,24483.05,24483.05,336130000
Dow Jones Industrial Average,4/13/2018,24582.82,24646.45,24243.74,24360.14,24360.14,331890000
Dow Jones Industrial Average,4/16/2018,24483.15,24675.36,24480.2,24573.04,24573.04,305070000
Dow Jones Industrial Average,4/17/2018,24681.79,24858.97,24681.79,24786.63,24786.63,342410000
Dow Jones Industrial Average,4/18/2018,24820.85,24832.54,24721.09,24748.07,24748.07,302030000
Dow Jones Industrial Average,4/19/2018,24711.3,24762.48,24557.03,24664.89,24664.89,381110000
Dow Jones Industrial Average,4/20/2018,24657.39,24678.07,24375.04,24462.94,24462.94,537770000
Dow Jones Industrial Average,4/23/2018,24488.07,24536.89,24328.54,24448.69,24448.69,351030000
Dow Jones Industrial Average,4/24/2018,24579.94,24579.94,23828.73,24024.13,24024.13,468180000
Dow Jones Industrial Average,4/25/2018,24070.2,24146.34,23823.08,24083.83,24083.83,437100000
Dow Jones Industrial Average,4/26/2018,24128.72,24402.46,24128.72,24322.34,24322.34,390360000
Dow Jones Industrial Average,4/27/2018,24342.14,24359.38,24194.45,24311.19,24311.19,392810000
Dow Jones Industrial Average,4/30/2018,24410.41,24498.23,24163.08,24163.15,24163.15,416650000
Dow Jones Industrial Average,5/1/2018,24117.29,24117.29,23808.19,24099.05,24099.05,380070000
Dow Jones Industrial Average,5/2/2018,24097.63,24185.52,23886.3,23924.98,23924.98,385350000
Dow Jones Industrial Average,5/3/2018,23836.23,23996.15,23531.31,23930.15,23930.15,389240000
Dow Jones Industrial Average,5/4/2018,23865.22,24333.35,23778.87,24262.51,24262.51,329480000
Dow Jones Industrial Average,5/7/2018,24317.66,24479.45,24263.42,24357.32,24357.32,307670000
Dow Jones Industrial Average,5/8/2018,24341.35,24412.34,24198.34,24360.21,24360.21,344940000
Dow Jones Industrial Average,5/9/2018,24399.18,24586.48,24323.87,24542.54,24542.54,361580000
Dow Jones Industrial Average,5/10/2018,24591.66,24794.99,24575.91,24739.53,24739.53,304210000
Dow Jones Industrial Average,5/11/2018,24758.64,24868.65,24717.5,24831.17,24831.17,274150000
Dow Jones Industrial Average,5/14/2018,24879.37,24994.19,24862.52,24899.41,24899.41,282860000
Dow Jones Industrial Average,5/15/2018,24809.55,24809.55,24629.39,24706.41,24706.41,301900000
Dow Jones Industrial Average,5/16/2018,24722.32,24801.19,24672.79,24768.93,24768.93,280810000
Dow Jones Industrial Average,5/17/2018,24752.4,24839.49,24639.4,24713.98,24713.98,314650000
Dow Jones Industrial Average,5/18/2018,24707.72,24774.97,24664.87,24715.09,24715.09,269700000
Dow Jones Industrial Average,5/21/2018,24883.06,25086.49,24883.06,25013.29,25013.29,308920000
Dow Jones Industrial Average,5/22/2018,25047.55,25064.99,24812.06,24834.41,24834.41,288200000
Dow Jones Industrial Average,5/23/2018,24757.71,24889.46,24667.12,24886.81,24886.81,399610000
Dow Jones Industrial Average,5/24/2018,24877.36,24877.36,24605.9,24811.76,24811.76,347050000
Dow Jones Industrial Average,5/25/2018,24781.29,24824.22,24687.81,24753.09,24753.09,257210000
Dow Jones Industrial Average,5/29/2018,24606.59,24635.18,24247.84,24361.45,24361.45,395810000
Dow Jones Industrial Average,5/30/2018,24467.83,24714.48,24459.09,24667.78,24667.78,324870000
Dow Jones Industrial Average,5/31/2018,24620.79,24620.79,24352.15,24415.84,24415.84,429740000
Dow Jones Industrial Average,6/1/2018,24542.09,24673.6,24542.09,24635.21,24635.21,315710000
Dow Jones Industrial Average,6/4/2018,24727.55,24859.37,24722.14,24813.69,24813.69,340400000
Dow Jones Industrial Average,6/5/2018,24820.12,24838.78,24710.82,24799.98,24799.98,306340000
Dow Jones Industrial Average,6/6/2018,24854.14,25146.46,24854.14,25146.39,25146.39,316090000
Dow Jones Industrial Average,6/7/2018,25192.14,25326.09,25164.48,25241.41,25241.41,357680000
Dow Jones Industrial Average,6/8/2018,25209.29,25325.63,25165.7,25316.53,25316.53,317510000
Dow Jones Industrial Average,6/11/2018,25336.67,25402.83,25290.2,25322.31,25322.31,276740000
Dow Jones Industrial Average,6/12/2018,25346.82,25364.37,25247.04,25320.73,25320.73,265750000
Dow Jones Industrial Average,6/13/2018,25328.65,25362.07,25191.42,25201.2,25201.2,329700000
Dow Jones Industrial Average,6/14/2018,25254.65,25332.5,25138.6,25175.31,25175.31,341170000
Dow Jones Industrial Average,6/15/2018,25116.71,25130.82,24894.38,25090.48,25090.48,659370000
Dow Jones Industrial Average,6/18/2018,24944.28,25003.1,24825.77,24987.47,24987.47,337070000
Dow Jones Industrial Average,6/19/2018,24763.59,24763.59,24567.75,24700.21,24700.21,376380000
Dow Jones Industrial Average,6/20/2018,24771.17,24804.76,24628.39,24657.8,24657.8,359520000
Dow Jones Industrial Average,6/21/2018,24639.21,24639.21,24406.63,24461.7,24461.7,349570000
Dow Jones Industrial Average,6/22/2018,24526.97,24663.18,24526.97,24580.89,24580.89,473970000
Dow Jones Industrial Average,6/25/2018,24463.73,24463.73,24084.39,24252.8,24252.8,439130000
Dow Jones Industrial Average,6/26/2018,24281.89,24384.21,24241.22,24283.11,24283.11,301130000
Dow Jones Industrial Average,6/27/2018,24303.11,24569.02,24115.82,24117.59,24117.59,313790000
Dow Jones Industrial Average,6/28/2018,24064.19,24308.16,23997.21,24216.05,24216.05,305020000
Dow Jones Industrial Average,6/29/2018,24323.93,24509.52,24269.71,24271.41,24271.41,329070000
Dow Jones Industrial Average,7/2/2018,24161.53,24319.42,24077.56,24307.18,24307.18,244110000
Dow Jones Industrial Average,7/3/2018,24359.39,24444.88,24150.85,24174.82,24174.82,160960000
Dow Jones Industrial Average,7/5/2018,24285.82,24372.8,24177.44,24356.74,24356.74,237670000
Dow Jones Industrial Average,7/6/2018,24352.47,24520.29,24281.47,24456.48,24456.48,219450000
Dow Jones Industrial Average,7/9/2018,24519.2,24796.52,24518.43,24776.59,24776.59,240580000
Dow Jones Industrial Average,7/10/2018,24806.97,24945.38,24806.97,24919.66,24919.66,235040000
Dow Jones Industrial Average,7/11/2018,24789.48,24815.16,24663.82,24700.45,24700.45,237370000
Dow Jones Industrial Average,7/12/2018,24802.9,24939.97,24802.9,24924.89,24924.89,233150000
Dow Jones Industrial Average,7/13/2018,24926.07,25043.21,24890.06,25019.41,25019.41,255520000
Dow Jones Industrial Average,7/16/2018,25025.58,25072.41,24979.64,25064.36,25064.36,231270000
Dow Jones Industrial Average,7/17/2018,25033.92,25155.39,24989.61,25119.89,25119.89,250450000
Dow Jones Industrial Average,7/18/2018,25133.79,25215.32,25101.12,25199.29,25199.29,252870000
Dow Jones Industrial Average,7/19/2018,25139.15,25154.17,25052.62,25064.5,25064.5,285760000
Dow Jones Industrial Average,7/20/2018,25041.14,25124.1,24986.35,25058.12,25058.12,274080000
Dow Jones Industrial Average,7/23/2018,25036.9,25081.45,24983.33,25044.29,25044.29,228820000
Dow Jones Industrial Average,7/24/2018,25092.43,25286.62,25092.43,25241.94,25241.94,274940000
Dow Jones Industrial Average,7/25/2018,25183.7,25432.87,25113.55,25414.1,25414.1,273670000
Dow Jones Industrial Average,7/26/2018,25468.55,25587.24,25463.16,25527.07,25527.07,297530000
Dow Jones Industrial Average,7/27/2018,25520.52,25580.22,25370.07,25451.06,25451.06,329680000
Dow Jones Industrial Average,7/30/2018,25439.32,25500.16,25287.38,25306.83,25306.83,296880000
Dow Jones Industrial Average,7/31/2018,25345.21,25490.98,25345.21,25415.19,25415.19,348700000
Dow Jones Industrial Average,8/1/2018,25461.63,25488.8,25278.32,25333.82,25333.82,315880000
Dow Jones Industrial Average,8/2/2018,25256.45,25360.48,25120.07,25326.16,25326.16,307700000
Dow Jones Industrial Average,8/3/2018,25360.37,25467.9,25325.17,25462.58,25462.58,239020000
Dow Jones Industrial Average,8/6/2018,25437.43,25540.02,25381.38,25502.18,25502.18,238990000
Dow Jones Industrial Average,8/7/2018,25551.65,25692.72,25551.65,25628.91,25628.91,239910000
Dow Jones Industrial Average,8/8/2018,25615.72,25634.11,25557.48,25583.75,25583.75,217770000
Dow Jones Industrial Average,8/9/2018,25589.79,25613.31,25492.69,25509.23,25509.23,214970000
Dow Jones Industrial Average,8/10/2018,25401.19,25401.19,25222.88,25313.14,25313.14,234480000
Dow Jones Industrial Average,8/13/2018,25327.19,25381.39,25153.93,25187.7,25187.7,219990000
Dow Jones Industrial Average,8/14/2018,25215.69,25339.51,25201.87,25299.92,25299.92,219210000
Dow Jones Industrial Average,8/15/2018,25235.37,25235.37,24965.77,25162.41,25162.41,295810000
Dow Jones Industrial Average,8/16/2018,25294.97,25607.34,25294.97,25558.73,25558.73,342430000
Dow Jones Industrial Average,8/17/2018,25550.8,25728.16,25521.66,25669.32,25669.32,284160000
